,hubmap_id,organ,sex,type_of_hubmap_id
32,HBM384.DLRM.527,Kidney_HuBMAP_Portal,[nan],dataset
33,HBM697.GKCG.783,Kidney_HuBMAP_Portal,[nan],dataset
34,HBM884.TGCL.432,Kidney_HuBMAP_Portal,[nan],dataset
35,HBM958.GZCX.985,Kidney_HuBMAP_Portal,['Male'],dataset
36,HBM347.MRTV.333,Kidney_HuBMAP_Portal,['Male'],dataset
37,HBM692.FLDL.779,Kidney_HuBMAP_Portal,['Female'],dataset
38,HBM844.KXXX.692,Kidney_HuBMAP_Portal,['Male'],dataset
39,HBM873.NSHG.559,Kidney_HuBMAP_Portal,['Male'],dataset
40,HBM243.TTRM.823,Kidney_HuBMAP_Portal,['Female'],dataset
41,HBM987.RLTF.378,Kidney_HuBMAP_Portal,[nan],dataset
42,HBM563.FJNH.776,Kidney_HuBMAP_Portal,['Female'],dataset
43,HBM268.RGJT.587,Kidney_HuBMAP_Portal,['Male'],dataset
44,HBM246.KBZS.276,Kidney_HuBMAP_Portal,['Male'],dataset
45,HBM375.WFJK.667,Kidney_HuBMAP_Portal,['Male'],dataset
46,HBM684.TLPQ.738,Kidney_HuBMAP_Portal,['Male'],dataset
47,HBM552.PBBF.363,Kidney_HuBMAP_Portal,['Male'],dataset
48,HBM282.BKRZ.254,Kidney_HuBMAP_Portal,['Male'],dataset
49,HBM584.JCQV.788,Kidney_HuBMAP_Portal,[nan],dataset
50,HBM272.FWMV.423,Kidney_HuBMAP_Portal,[nan],dataset
51,HBM372.TFNT.572,Kidney_HuBMAP_Portal,[nan],dataset
52,HBM525.LRPL.332,Kidney_HuBMAP_Portal,['Male'],dataset
53,HBM275.PDRR.759,Kidney_HuBMAP_Portal,[nan],dataset
54,HBM879.RZJJ.974,Kidney_HuBMAP_Portal,[nan],dataset
55,HBM826.VZFT.824,Kidney_HuBMAP_Portal,[nan],dataset
56,HBM634.QQWF.789,Kidney_HuBMAP_Portal,['Male'],dataset
57,HBM979.KNQM.454,Kidney_HuBMAP_Portal,['Male'],dataset
58,HBM752.ZRBH.538,Kidney_HuBMAP_Portal,['Male'],dataset
59,HBM427.KFXP.323,Kidney_HuBMAP_Portal,['Male'],dataset
60,HBM793.QCGM.999,Kidney_HuBMAP_Portal,['Male'],dataset
61,HBM297.TTGF.282,Kidney_HuBMAP_Portal,['Female'],dataset
62,HBM688.LGBS.644,Kidney_HuBMAP_Portal,[nan],dataset
63,HBM439.JPZX.574,Kidney_HuBMAP_Portal,['Female'],dataset
64,HBM876.HTRX.668,Kidney_HuBMAP_Portal,['Male'],dataset
65,HBM834.THPC.928,Kidney_HuBMAP_Portal,['Male'],dataset
66,HBM244.FRPJ.636,Kidney_HuBMAP_Portal,['Male'],dataset
67,HBM447.KCHB.778,Kidney_HuBMAP_Portal,['Male'],dataset
68,HBM393.DZDZ.972,Kidney_HuBMAP_Portal,['Male'],dataset
69,HBM785.LNQZ.992,Kidney_HuBMAP_Portal,['Male'],dataset
70,HBM942.NXWW.245,Kidney_HuBMAP_Portal,['Male'],dataset
71,HBM356.QPJF.839,Kidney_HuBMAP_Portal,['Female'],dataset
72,HBM242.HNLH.466,Kidney_HuBMAP_Portal,['Male'],dataset
73,HBM745.XMRR.874,Kidney_HuBMAP_Portal,[nan],dataset
74,HBM476.ZWMS.768,Kidney_HuBMAP_Portal,['Female'],dataset
75,HBM254.SXWG.373,Kidney_HuBMAP_Portal,[nan],dataset
76,HBM742.PSCP.565,Kidney_HuBMAP_Portal,[nan],dataset
77,HBM843.QHNR.854,Kidney_HuBMAP_Portal,[nan],dataset
78,HBM772.WGBN.852,Kidney_HuBMAP_Portal,[nan],dataset
