,dataset_id,dataset_name
22,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
23,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
24,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
25,da72e8fd-808c-498b-9d43-898986930ee0,Paediatric Human Gut (4-14y)
26,6c05f065-d471-407c-9d8f-c4d29ab6df5b,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7
27,da72e8fd-808c-498b-9d43-898986930ee0,Paediatric Human Gut (4-14y)
28,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
29,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
30,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
31,2e4c82d7-916b-4c24-9dbe-0a04eaca63a3,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A6
32,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
33,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
34,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
35,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
36,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
37,da72e8fd-808c-498b-9d43-898986930ee0,Paediatric Human Gut (4-14y)
38,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
39,da72e8fd-808c-498b-9d43-898986930ee0,Paediatric Human Gut (4-14y)
40,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
41,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
42,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
43,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
44,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
45,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
46,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
47,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
48,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
49,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
50,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
51,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
52,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
53,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
54,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
55,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
56,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
57,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
58,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
59,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
60,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
61,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
62,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
63,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
64,1832f82c-cf47-488e-a22a-fe0a018b7c3e,Non-pregnant Uterus (Endometrium - All)
65,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
66,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
67,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
68,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
69,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
70,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
71,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
72,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
73,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
74,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
75,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
76,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
77,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
78,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
79,d327cc3f-3ca1-465a-841a-25096aa3c2bb,Colon
80,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
81,09942692-37d1-4f24-ae61-d72edc102057,Validation (Val) set of human colorectal tumor: Epithelial
82,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
83,749c4f7c-90d0-4dff-9f43-f5c41263f9e6,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics
84,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
85,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
86,2db5cf00-511a-4a3d-95cc-e48a9bae8778,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A4
87,749c4f7c-90d0-4dff-9f43-f5c41263f9e6,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics
88,09942692-37d1-4f24-ae61-d72edc102057,Validation (Val) set of human colorectal tumor: Epithelial
89,d327cc3f-3ca1-465a-841a-25096aa3c2bb,Colon
90,749c4f7c-90d0-4dff-9f43-f5c41263f9e6,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics
91,833d4fd9-75ce-4658-9ed7-7c57278064e5,Discovery (DIS) set of human colorectal tumor: Epithelial
92,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
93,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
94,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
95,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
96,d327cc3f-3ca1-465a-841a-25096aa3c2bb,Colon
97,09942692-37d1-4f24-ae61-d72edc102057,Validation (Val) set of human colorectal tumor: Epithelial
98,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
99,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
100,d327cc3f-3ca1-465a-841a-25096aa3c2bb,Colon
101,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
102,9983faf9-90aa-4180-bb00-58d4d001ab72,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9
103,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
104,c97eb184-0ab1-4ec1-b44e-0b657d8d0f7b,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8
105,833d4fd9-75ce-4658-9ed7-7c57278064e5,Discovery (DIS) set of human colorectal tumor: Epithelial
106,09942692-37d1-4f24-ae61-d72edc102057,Validation (Val) set of human colorectal tumor: Epithelial
107,833d4fd9-75ce-4658-9ed7-7c57278064e5,Discovery (DIS) set of human colorectal tumor: Epithelial
108,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
109,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
110,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
111,347bc6ac-537f-4679-8190-ce283cdb4643,Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2
112,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
113,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
114,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
115,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
116,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
117,833d4fd9-75ce-4658-9ed7-7c57278064e5,Discovery (DIS) set of human colorectal tumor: Epithelial
118,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
119,0d5f182b-6128-48bb-841e-16dd0cf481d3,Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1
120,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
121,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
122,833d4fd9-75ce-4658-9ed7-7c57278064e5,Discovery (DIS) set of human colorectal tumor: Epithelial
123,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
124,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
125,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
126,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
127,833d4fd9-75ce-4658-9ed7-7c57278064e5,Discovery (DIS) set of human colorectal tumor: Epithelial
128,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
129,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
130,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
131,09942692-37d1-4f24-ae61-d72edc102057,Validation (Val) set of human colorectal tumor: Epithelial
132,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
133,d327cc3f-3ca1-465a-841a-25096aa3c2bb,Colon
134,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
135,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
136,09942692-37d1-4f24-ae61-d72edc102057,Validation (Val) set of human colorectal tumor: Epithelial
137,833d4fd9-75ce-4658-9ed7-7c57278064e5,Discovery (DIS) set of human colorectal tumor: Epithelial
138,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
139,11a5a27c-964d-42f2-b6a8-5bba3038b7ed,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3
140,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
141,833d4fd9-75ce-4658-9ed7-7c57278064e5,Discovery (DIS) set of human colorectal tumor: Epithelial
142,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
143,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
144,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
145,833d4fd9-75ce-4658-9ed7-7c57278064e5,Discovery (DIS) set of human colorectal tumor: Epithelial
146,833d4fd9-75ce-4658-9ed7-7c57278064e5,Discovery (DIS) set of human colorectal tumor: Epithelial
147,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
148,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
149,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
150,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
151,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
152,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
153,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
154,be15dae0-b9a2-4d03-87cd-219d72f8c72f,VAL and DIS datasets: Non-Epithelial
155,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
156,740d9613-224f-40d1-b4ad-6c78a1e12554,Retinal ganglion cells in human retina
157,badab625-4abc-414b-ac33-82eb695363e7,Retina
158,7048833b-9287-48cd-899f-0d44a39d51a6,Central Cornea
159,613d5b10-dd86-4725-8132-9561fe85a8f9,Amacrine cells of the human fovea and peripheral retina
160,38336cff-c944-447a-8eb1-15500fae8dda,Bipolar cells of the human fovea and peripheral retina
161,19bc6272-59af-4351-8890-5b392ca8581b,Horizontal cells of the human fovea and peripheral retina
162,badab625-4abc-414b-ac33-82eb695363e7,Retina
163,10e55e22-115e-4a94-ae31-221de9c84bfc,Photoreceptor cells of the human fovea and peripheral retina
164,badab625-4abc-414b-ac33-82eb695363e7,Retina
165,19bc6272-59af-4351-8890-5b392ca8581b,Horizontal cells of the human fovea and peripheral retina
166,19bc6272-59af-4351-8890-5b392ca8581b,Horizontal cells of the human fovea and peripheral retina
167,19bc6272-59af-4351-8890-5b392ca8581b,Horizontal cells of the human fovea and peripheral retina
168,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
169,740d9613-224f-40d1-b4ad-6c78a1e12554,Retinal ganglion cells in human retina
170,19bc6272-59af-4351-8890-5b392ca8581b,Horizontal cells of the human fovea and peripheral retina
171,613d5b10-dd86-4725-8132-9561fe85a8f9,Amacrine cells of the human fovea and peripheral retina
172,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
173,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
174,da2cbedd-f892-4081-b798-fbdddffc9b8b,Retina
175,e89cfbed-47b0-4aaf-ad59-aa43ddbb4339,All major cell types in adult human retina
176,da2cbedd-f892-4081-b798-fbdddffc9b8b,Retina
177,7048833b-9287-48cd-899f-0d44a39d51a6,Central Cornea
178,276c52cb-fa5a-4944-b3e4-f4091a8f8f52,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution
179,e89cfbed-47b0-4aaf-ad59-aa43ddbb4339,All major cell types in adult human retina
180,4e075481-1629-4ede-a606-69dd9b1333a5,Non-neuronal cells of the human fovea and peripheral retina
181,e89cfbed-47b0-4aaf-ad59-aa43ddbb4339,All major cell types in adult human retina
182,38336cff-c944-447a-8eb1-15500fae8dda,Bipolar cells of the human fovea and peripheral retina
183,10e55e22-115e-4a94-ae31-221de9c84bfc,Photoreceptor cells of the human fovea and peripheral retina
184,7048833b-9287-48cd-899f-0d44a39d51a6,Central Cornea
185,613d5b10-dd86-4725-8132-9561fe85a8f9,Amacrine cells of the human fovea and peripheral retina
186,7048833b-9287-48cd-899f-0d44a39d51a6,Central Cornea
187,e89cfbed-47b0-4aaf-ad59-aa43ddbb4339,All major cell types in adult human retina
188,276c52cb-fa5a-4944-b3e4-f4091a8f8f52,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution
189,4e075481-1629-4ede-a606-69dd9b1333a5,Non-neuronal cells of the human fovea and peripheral retina
190,234d2fcb-1857-4e54-9ac4-6fa05c4902e9,Retinal ganglion cells of the human fovea and peripheral retina
191,234d2fcb-1857-4e54-9ac4-6fa05c4902e9,Retinal ganglion cells of the human fovea and peripheral retina
192,234d2fcb-1857-4e54-9ac4-6fa05c4902e9,Retinal ganglion cells of the human fovea and peripheral retina
193,4e075481-1629-4ede-a606-69dd9b1333a5,Non-neuronal cells of the human fovea and peripheral retina
194,613d5b10-dd86-4725-8132-9561fe85a8f9,Amacrine cells of the human fovea and peripheral retina
195,19bc6272-59af-4351-8890-5b392ca8581b,Horizontal cells of the human fovea and peripheral retina
196,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
197,e89cfbed-47b0-4aaf-ad59-aa43ddbb4339,All major cell types in adult human retina
198,276c52cb-fa5a-4944-b3e4-f4091a8f8f52,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution
199,613d5b10-dd86-4725-8132-9561fe85a8f9,Amacrine cells of the human fovea and peripheral retina
200,740d9613-224f-40d1-b4ad-6c78a1e12554,Retinal ganglion cells in human retina
201,4307ba32-5ea8-438a-b089-d9575b8ddb77,Fovea - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution
202,10e55e22-115e-4a94-ae31-221de9c84bfc,Photoreceptor cells of the human fovea and peripheral retina
203,38336cff-c944-447a-8eb1-15500fae8dda,Bipolar cells of the human fovea and peripheral retina
204,7048833b-9287-48cd-899f-0d44a39d51a6,Central Cornea
205,613d5b10-dd86-4725-8132-9561fe85a8f9,Amacrine cells of the human fovea and peripheral retina
206,38336cff-c944-447a-8eb1-15500fae8dda,Bipolar cells of the human fovea and peripheral retina
207,10e55e22-115e-4a94-ae31-221de9c84bfc,Photoreceptor cells of the human fovea and peripheral retina
208,4e075481-1629-4ede-a606-69dd9b1333a5,Non-neuronal cells of the human fovea and peripheral retina
209,4307ba32-5ea8-438a-b089-d9575b8ddb77,Fovea - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution
210,234d2fcb-1857-4e54-9ac4-6fa05c4902e9,Retinal ganglion cells of the human fovea and peripheral retina
211,234d2fcb-1857-4e54-9ac4-6fa05c4902e9,Retinal ganglion cells of the human fovea and peripheral retina
212,4e075481-1629-4ede-a606-69dd9b1333a5,Non-neuronal cells of the human fovea and peripheral retina
213,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
214,10e55e22-115e-4a94-ae31-221de9c84bfc,Photoreceptor cells of the human fovea and peripheral retina
215,38336cff-c944-447a-8eb1-15500fae8dda,Bipolar cells of the human fovea and peripheral retina
216,4307ba32-5ea8-438a-b089-d9575b8ddb77,Fovea - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution
217,740d9613-224f-40d1-b4ad-6c78a1e12554,Retinal ganglion cells in human retina
218,38336cff-c944-447a-8eb1-15500fae8dda,Bipolar cells of the human fovea and peripheral retina
219,740d9613-224f-40d1-b4ad-6c78a1e12554,Retinal ganglion cells in human retina
220,234d2fcb-1857-4e54-9ac4-6fa05c4902e9,Retinal ganglion cells of the human fovea and peripheral retina
221,4e075481-1629-4ede-a606-69dd9b1333a5,Non-neuronal cells of the human fovea and peripheral retina
222,38336cff-c944-447a-8eb1-15500fae8dda,Bipolar cells of the human fovea and peripheral retina
223,10e55e22-115e-4a94-ae31-221de9c84bfc,Photoreceptor cells of the human fovea and peripheral retina
224,4e075481-1629-4ede-a606-69dd9b1333a5,Non-neuronal cells of the human fovea and peripheral retina
225,234d2fcb-1857-4e54-9ac4-6fa05c4902e9,Retinal ganglion cells of the human fovea and peripheral retina
226,740d9613-224f-40d1-b4ad-6c78a1e12554,Retinal ganglion cells in human retina
227,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
228,10e55e22-115e-4a94-ae31-221de9c84bfc,Photoreceptor cells of the human fovea and peripheral retina
229,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
230,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
231,19bc6272-59af-4351-8890-5b392ca8581b,Horizontal cells of the human fovea and peripheral retina
232,e89cfbed-47b0-4aaf-ad59-aa43ddbb4339,All major cell types in adult human retina
233,613d5b10-dd86-4725-8132-9561fe85a8f9,Amacrine cells of the human fovea and peripheral retina
234,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
235,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
236,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
237,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
238,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
239,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
240,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
241,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
242,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
243,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
244,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
245,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
246,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
247,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
248,610f6f26-dfd3-4920-b3cd-a7e14192c843,Survey of human embryonic development
249,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
250,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
251,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
252,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
253,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
254,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
255,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
256,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
257,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
258,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
259,0b504a72-9d51-43f1-ae63-b880ac307bc5,Tabula Sapiens - All Cells
260,9da9de93-068f-448b-9979-bea96febcd88,HSC/progenitor cells
261,84d834b8-d14a-4caa-9fba-e3a891f4661c,Lymphoid cells
262,ac650ba8-f19d-46a6-8a8f-3e352dae01e6,Stromal cells (all non-immune cells)
263,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
264,ad462d51-5cc4-4244-bf70-44bb6184d06d,Megakaryocyte/erythroid cells
265,9da9de93-068f-448b-9979-bea96febcd88,HSC/progenitor cells
266,84d834b8-d14a-4caa-9fba-e3a891f4661c,Lymphoid cells
267,ac650ba8-f19d-46a6-8a8f-3e352dae01e6,Stromal cells (all non-immune cells)
268,ac650ba8-f19d-46a6-8a8f-3e352dae01e6,Stromal cells (all non-immune cells)
269,84d834b8-d14a-4caa-9fba-e3a891f4661c,Lymphoid cells
270,fcfd4c88-e3bd-4f79-b047-459ea13dcc87,HSC/immune cells (all hematopoietic-derived cells)
271,fcfd4c88-e3bd-4f79-b047-459ea13dcc87,HSC/immune cells (all hematopoietic-derived cells)
272,9da9de93-068f-448b-9979-bea96febcd88,HSC/progenitor cells
273,c5f195e7-a503-42e4-9839-4750da53820b,NK/T cells
274,fcfd4c88-e3bd-4f79-b047-459ea13dcc87,HSC/immune cells (all hematopoietic-derived cells)
275,fcfd4c88-e3bd-4f79-b047-459ea13dcc87,HSC/immune cells (all hematopoietic-derived cells)
276,5c706271-e86e-4b71-bbdc-1f222620a1bd,Construction of a human cell landscape at single-cell level
277,fcfd4c88-e3bd-4f79-b047-459ea13dcc87,HSC/immune cells (all hematopoietic-derived cells)
278,ad462d51-5cc4-4244-bf70-44bb6184d06d,Megakaryocyte/erythroid cells
279,5564bc1f-e92a-4073-922a-d6e8da2724db,Myeloid cells
280,9da9de93-068f-448b-9979-bea96febcd88,HSC/progenitor cells
281,84d834b8-d14a-4caa-9fba-e3a891f4661c,Lymphoid cells
282,ac650ba8-f19d-46a6-8a8f-3e352dae01e6,Stromal cells (all non-immune cells)
283,ac650ba8-f19d-46a6-8a8f-3e352dae01e6,Stromal cells (all non-immune cells)
284,84d834b8-d14a-4caa-9fba-e3a891f4661c,Lymphoid cells
285,9da9de93-068f-448b-9979-bea96febcd88,HSC/progenitor cells
286,c5f195e7-a503-42e4-9839-4750da53820b,NK/T cells
287,fcfd4c88-e3bd-4f79-b047-459ea13dcc87,HSC/immune cells (all hematopoietic-derived cells)
288,fcfd4c88-e3bd-4f79-b047-459ea13dcc87,HSC/immune cells (all hematopoietic-derived cells)
289,ad462d51-5cc4-4244-bf70-44bb6184d06d,Megakaryocyte/erythroid cells
290,5564bc1f-e92a-4073-922a-d6e8da2724db,Myeloid cells
291,9da9de93-068f-448b-9979-bea96febcd88,HSC/progenitor cells
292,9da9de93-068f-448b-9979-bea96febcd88,HSC/progenitor cells
293,84d834b8-d14a-4caa-9fba-e3a891f4661c,Lymphoid cells
294,84d834b8-d14a-4caa-9fba-e3a891f4661c,Lymphoid cells
295,ac650ba8-f19d-46a6-8a8f-3e352dae01e6,Stromal cells (all non-immune cells)
296,ac650ba8-f19d-46a6-8a8f-3e352dae01e6,Stromal cells (all non-immune cells)
